,t,X (pixel),Y (pixel),X (nm),Y (nm),dr (nm),N1,N2,N3,N4,event,ex,ey,N_bound
0,0.0,1000,1000,3162.2776601683795,3162.2776601683795,0.0,49,1,0,0,0,982,982,1
1,0.10658944903551507,997,997,3152.7908271878746,3152.7908271878746,13.416407864998737,48,2,0,0,1,1003,1001,2
2,0.11298851276562133,1001,995,3165.439937828548,3146.4662718675377,14.142135623730953,51,3,0,0,1,1003,995,3
3,0.11514919533020351,998,996,3155.9531048480426,3149.628549527706,10.000000000000002,45,4,0,0,1,1002,993,4
4,0.2889287065746854,998,997,3155.9531048480426,3152.7908271878746,3.1622776601683795,43,5,0,0,1,992,993,5
5,0.3806746038843844,997,996,3152.7908271878746,3149.628549527706,4.47213595499958,43,6,0,0,1,998,989,6
6,0.38928241831510213,997,996,3152.7908271878746,3149.628549527706,0.0,42,7,0,0,1,989,998,7
7,0.49223051768375053,997,996,3152.7908271878746,3149.628549527706,0.0,41,8,0,0,1,1005,998,8
8,0.5037940183217113,997,996,3152.7908271878746,3149.628549527706,0.0,40,9,0,0,1,1000,989,9
9,0.5291587836318744,997,996,3152.7908271878746,3149.628549527706,0.0,39,10,0,0,1,1004,993,10
10,0.582510392667827,997,996,3152.7908271878746,3149.628549527706,0.0,38,11,0,0,1,1004,1001,11
11,0.6752753428175224,997,996,3152.7908271878746,3149.628549527706,0.0,37,12,0,0,1,1000,992,12
12,0.7217898681478936,997,996,3152.7908271878746,3149.628549527706,0.0,36,13,0,0,1,1004,998,13
13,0.7847129268130535,997,996,3152.7908271878746,3149.628549527706,0.0,35,14,0,0,1,990,1000,14
14,0.998564555801168,997,996,3152.7908271878746,3149.628549527706,0.0,34,15,0,0,1,1003,1000,15
15,1.2344045127714036,997,996,3152.7908271878746,3149.628549527706,0.0,33,16,0,0,1,990,997,16
16,1.3093806329398823,997,996,3152.7908271878746,3149.628549527706,0.0,32,17,0,0,1,990,991,17
17,1.377536507606725,997,996,3152.7908271878746,3149.628549527706,0.0,31,18,0,0,1,1000,993,18
18,1.4179010863172923,997,996,3152.7908271878746,3149.628549527706,0.0,30,19,0,0,1,995,1004,19
19,1.4249011887603202,997,996,3152.7908271878746,3149.628549527706,0.0,29,20,0,0,1,990,996,20
20,1.4304231712023687,997,996,3152.7908271878746,3149.628549527706,0.0,28,21,0,0,1,996,999,21
21,1.5843209199773558,997,996,3152.7908271878746,3149.628549527706,0.0,27,22,0,0,1,1003,990,22
22,1.792338593688523,997,996,3152.7908271878746,3149.628549527706,0.0,27,21,1,0,2,1002,993,22
23,1.891628973149644,997,996,3152.7908271878746,3149.628549527706,0.0,26,22,1,0,1,1003,993,23
24,1.9218880502135096,997,996,3152.7908271878746,3149.628549527706,0.0,26,21,2,0,2,1003,1000,23
25,1.944078765598842,997,996,3152.7908271878746,3149.628549527706,0.0,25,22,2,0,1,990,1001,24
26,1.9555718708950869,997,996,3152.7908271878746,3149.628549527706,0.0,24,23,2,0,1,989,996,25
27,1.9811795132130798,997,996,3152.7908271878746,3149.628549527706,0.0,23,24,2,0,1,999,996,26
28,1.9821990782379257,997,996,3152.7908271878746,3149.628549527706,0.0,22,25,2,0,1,991,999,27
29,2.0056012035870068,997,996,3152.7908271878746,3149.628549527706,0.0,22,25,1,1,3,1003,1000,26
30,2.1274675092627673,997,996,3152.7908271878746,3149.628549527706,0.0,21,26,1,1,1,997,994,27
31,2.30516180839891,997,996,3152.7908271878746,3149.628549527706,0.0,20,27,1,1,1,995,1001,28
32,2.5701158132408946,997,996,3152.7908271878746,3149.628549527706,0.0,19,28,1,1,1,992,996,29
33,2.6948797670847404,997,996,3152.7908271878746,3149.628549527706,0.0,19,28,0,2,3,1002,993,28
34,2.747111227574413,997,996,3152.7908271878746,3149.628549527706,0.0,18,29,0,2,1,1002,998,29
35,2.7702076638041797,997,996,3152.7908271878746,3149.628549527706,0.0,17,30,0,2,1,1004,996,30
36,2.910120872404753,997,996,3152.7908271878746,3149.628549527706,0.0,16,31,0,2,1,996,996,31
37,3.2421155464091753,997,996,3152.7908271878746,3149.628549527706,0.0,16,30,1,2,2,992,996,31
38,3.253886324728313,997,996,3152.7908271878746,3149.628549527706,0.0,16,30,0,3,3,992,996,30
39,3.2819050065667836,997,996,3152.7908271878746,3149.628549527706,0.0,16,29,1,3,2,999,996,30
40,3.465738728073633,997,996,3152.7908271878746,3149.628549527706,0.0,16,28,2,3,2,997,994,30
41,3.5119057304794516,997,996,3152.7908271878746,3149.628549527706,0.0,16,28,1,4,3,999,996,29
42,3.5419804030211237,997,996,3152.7908271878746,3149.628549527706,0.0,15,29,1,4,1,989,997,30
43,3.599250219744521,997,996,3152.7908271878746,3149.628549527706,0.0,14,30,1,4,1,1000,1003,31
44,3.6903109985684166,997,996,3152.7908271878746,3149.628549527706,0.0,14,30,0,5,3,997,994,30
45,3.8432252004579457,997,996,3152.7908271878746,3149.628549527706,0.0,13,31,0,5,1,994,989,31
46,3.8907997943561226,997,996,3152.7908271878746,3149.628549527706,0.0,12,32,0,5,1,1001,994,32
47,3.9134564545835326,997,996,3152.7908271878746,3149.628549527706,0.0,11,33,0,5,1,1001,992,33
48,4.356845027279365,997,996,3152.7908271878746,3149.628549527706,0.0,11,32,1,5,2,1000,992,33
49,4.40383535116612,997,996,3152.7908271878746,3149.628549527706,0.0,11,31,2,5,2,996,996,33
50,4.457595409719034,997,996,3152.7908271878746,3149.628549527706,0.0,11,31,1,6,3,996,996,32
51,4.505581178085461,997,996,3152.7908271878746,3149.628549527706,0.0,11,31,0,7,3,1000,992,31
52,4.526975811456841,997,996,3152.7908271878746,3149.628549527706,0.0,10,32,0,7,1,997,1004,32
53,4.894000701916716,997,996,3152.7908271878746,3149.628549527706,0.0,10,31,1,7,2,994,989,32
54,4.899866598586928,997,996,3152.7908271878746,3149.628549527706,0.0,9,32,1,7,1,1000,994,33
55,5.035825739008007,997,996,3152.7908271878746,3149.628549527706,0.0,9,31,2,7,2,1003,995,33
56,5.12146366180784,997,996,3152.7908271878746,3149.628549527706,0.0,9,31,1,8,3,1003,995,32
57,5.149678524030879,997,996,3152.7908271878746,3149.628549527706,0.0,9,30,2,8,2,1000,993,32
58,5.239642675220991,997,996,3152.7908271878746,3149.628549527706,0.0,9,30,1,9,3,994,989,31
59,5.460435159199573,997,996,3152.7908271878746,3149.628549527706,0.0,8,31,1,9,1,996,995,32
60,5.487528652542929,997,996,3152.7908271878746,3149.628549527706,0.0,8,31,0,10,3,1000,993,31
61,5.907833385526957,997,996,3152.7908271878746,3149.628549527706,0.0,8,30,1,10,2,1004,996,31
62,6.121395127787628,997,996,3152.7908271878746,3149.628549527706,0.0,8,30,0,11,3,1004,996,30
63,6.1559086891616985,997,996,3152.7908271878746,3149.628549527706,0.0,7,31,0,11,1,1001,989,31
64,6.35837995984347,997,996,3152.7908271878746,3149.628549527706,0.0,6,32,0,11,1,1001,1000,32
65,6.499127637820385,997,996,3152.7908271878746,3149.628549527706,0.0,6,31,1,11,2,1005,998,32
66,6.6914392743909215,997,996,3152.7908271878746,3149.628549527706,0.0,5,32,1,11,1,1004,997,33
67,7.05602878912819,997,996,3152.7908271878746,3149.628549527706,0.0,5,31,2,11,2,1003,990,33
68,7.099340949699512,997,996,3152.7908271878746,3149.628549527706,0.0,4,32,2,11,1,990,999,34
69,7.266229085544341,997,996,3152.7908271878746,3149.628549527706,0.0,4,32,1,12,3,1005,998,33
70,7.318001689131791,997,996,3152.7908271878746,3149.628549527706,0.0,4,32,0,13,3,1003,990,32
71,7.862338890555147,997,996,3152.7908271878746,3149.628549527706,0.0,3,33,0,13,1,996,990,33
72,8.14897053185384,997,996,3152.7908271878746,3149.628549527706,0.0,3,32,1,13,2,989,996,33
73,8.656210711905478,997,996,3152.7908271878746,3149.628549527706,0.0,3,31,2,13,2,998,989,33
74,8.8069709938488,997,996,3152.7908271878746,3149.628549527706,0.0,3,31,1,14,3,989,996,32
75,8.894220849114872,997,996,3152.7908271878746,3149.628549527706,0.0,2,32,1,14,1,999,1004,33
76,8.944437330399058,997,996,3152.7908271878746,3149.628549527706,0.0,2,32,0,15,3,998,989,32
77,9.085195720097738,997,996,3152.7908271878746,3149.628549527706,0.0,1,33,0,15,1,1000,997,33
78,9.56091712693712,997,996,3152.7908271878746,3149.628549527706,0.0,0,34,0,15,1,1002,1001,34
79,9.650242348529726,997,996,3152.7908271878746,3149.628549527706,0.0,0,33,1,15,2,1001,989,34
80,9.688032652032614,997,996,3152.7908271878746,3149.628549527706,0.0,0,33,0,16,3,1001,989,33
81,11.902299069393463,997,996,3152.7908271878746,3149.628549527706,0.0,0,32,1,16,2,995,1004,33
82,12.030722719687502,997,996,3152.7908271878746,3149.628549527706,0.0,0,32,0,17,3,995,1004,32
83,12.54489545670774,997,996,3152.7908271878746,3149.628549527706,0.0,0,31,1,17,2,990,1000,32
84,12.617456247775996,997,996,3152.7908271878746,3149.628549527706,0.0,0,31,0,18,3,990,1000,31
85,12.861112695324104,997,996,3152.7908271878746,3149.628549527706,0.0,0,30,1,18,2,989,997,31
86,12.902861591106477,997,996,3152.7908271878746,3149.628549527706,0.0,0,30,0,19,3,989,997,30
87,13.091880891045042,997,996,3152.7908271878746,3149.628549527706,0.0,0,29,1,19,2,1002,1001,30
88,13.136571364788587,997,996,3152.7908271878746,3149.628549527706,0.0,0,29,0,20,3,1002,1001,29
89,13.853208691247444,997,996,3152.7908271878746,3149.628549527706,0.0,0,28,1,20,2,1002,998,29
90,14.673539538698128,997,996,3152.7908271878746,3149.628549527706,0.0,0,28,0,21,3,1002,998,28
91,15.028466946295028,997,996,3152.7908271878746,3149.628549527706,0.0,0,27,1,21,2,990,996,28
92,15.061947421021527,997,996,3152.7908271878746,3149.628549527706,0.0,0,27,0,22,3,990,996,27
93,15.910258340262917,997,996,3152.7908271878746,3149.628549527706,0.0,0,26,1,22,2,990,991,27
94,16.112417802744314,997,996,3152.7908271878746,3149.628549527706,0.0,0,26,0,23,3,990,991,26
95,16.143219610814054,997,996,3152.7908271878746,3149.628549527706,0.0,0,25,1,23,2,989,998,26
96,16.15437109897169,997,996,3152.7908271878746,3149.628549527706,0.0,0,25,0,24,3,989,998,25
97,18.594553368023114,997,996,3152.7908271878746,3149.628549527706,0.0,0,24,1,24,2,1004,993,25
98,18.834249331869927,997,996,3152.7908271878746,3149.628549527706,0.0,0,24,0,25,3,1004,993,24
99,18.864327318555567,997,996,3152.7908271878746,3149.628549527706,0.0,0,23,1,25,2,1003,993,24
100,18.95565361879225,997,996,3152.7908271878746,3149.628549527706,0.0,0,23,0,26,3,1003,993,23
101,19.085320789871346,997,996,3152.7908271878746,3149.628549527706,0.0,0,22,1,26,2,1000,997,23
102,19.420847027552828,997,996,3152.7908271878746,3149.628549527706,0.0,0,22,0,27,3,1000,997,22
103,20.38128491729602,997,996,3152.7908271878746,3149.628549527706,0.0,0,21,1,27,2,999,1004,22
104,20.860182096026808,997,996,3152.7908271878746,3149.628549527706,0.0,0,21,0,28,3,999,1004,21
105,25.15850262520867,997,996,3152.7908271878746,3149.628549527706,0.0,0,20,1,28,2,1000,989,21
106,25.235729293462576,997,996,3152.7908271878746,3149.628549527706,0.0,0,19,2,28,2,1004,997,21
107,25.404068280035368,997,996,3152.7908271878746,3149.628549527706,0.0,0,19,1,29,3,1000,989,20
108,25.433204766233246,997,996,3152.7908271878746,3149.628549527706,0.0,0,19,0,30,3,1004,997,19
109,25.97655489477652,997,996,3152.7908271878746,3149.628549527706,0.0,0,18,1,30,2,1000,1003,19
110,26.120244708452333,997,996,3152.7908271878746,3149.628549527706,0.0,0,18,0,31,3,1000,1003,18
111,28.64201332697868,997,996,3152.7908271878746,3149.628549527706,0.0,0,17,1,31,2,996,995,18
112,29.32831817344086,997,996,3152.7908271878746,3149.628549527706,0.0,0,17,0,32,3,996,995,17
113,29.34229164102455,997,996,3152.7908271878746,3149.628549527706,0.0,0,16,1,32,2,997,1004,17
114,29.645542775601445,997,996,3152.7908271878746,3149.628549527706,0.0,0,16,0,33,3,997,1004,16
115,32.87884390150287,997,996,3152.7908271878746,3149.628549527706,0.0,0,15,1,33,2,1004,998,16
116,33.057373017796806,997,996,3152.7908271878746,3149.628549527706,0.0,0,14,2,33,2,991,999,16
117,33.0670415076117,997,996,3152.7908271878746,3149.628549527706,0.0,0,14,1,34,3,991,999,15
118,33.16755225389965,997,996,3152.7908271878746,3149.628549527706,0.0,0,13,2,34,2,1000,994,15
119,33.20176747936444,997,996,3152.7908271878746,3149.628549527706,0.0,0,13,1,35,3,1004,998,14
120,33.42048187654145,997,996,3152.7908271878746,3149.628549527706,0.0,0,13,0,36,3,1000,994,13
121,33.726563247623744,997,996,3152.7908271878746,3149.628549527706,0.0,0,12,1,36,2,996,990,13
122,33.794592176659584,997,998,3152.7908271878746,3155.9531048480426,6.324555320336759,5,12,0,31,3,996,990,12
123,34.49795598868436,997,998,3152.7908271878746,3155.9531048480426,0.0,5,11,1,31,2,1003,1001,12
124,34.817752243119116,997,998,3152.7908271878746,3155.9531048480426,0.0,5,11,0,32,3,1003,1001,11
125,35.78688770508157,997,998,3152.7908271878746,3155.9531048480426,0.0,4,12,0,32,1,994,1005,12
126,35.819928032986745,997,998,3152.7908271878746,3155.9531048480426,0.0,3,13,0,32,1,1001,1004,13
127,36.27594999378654,997,998,3152.7908271878746,3155.9531048480426,0.0,2,14,0,32,1,1005,1001,14
128,36.63738849949279,997,998,3152.7908271878746,3155.9531048480426,0.0,2,13,1,32,2,995,1001,14
129,37.04970551459804,997,998,3152.7908271878746,3155.9531048480426,0.0,2,13,0,33,3,995,1001,13
130,37.94219338000886,997,998,3152.7908271878746,3155.9531048480426,0.0,2,12,1,33,2,990,1001,13
131,38.094907818353434,997,998,3152.7908271878746,3155.9531048480426,0.0,2,12,0,34,3,990,1001,12
132,38.534224701338516,997,998,3152.7908271878746,3155.9531048480426,0.0,2,11,1,34,2,1001,994,12
133,39.361620511015424,997,998,3152.7908271878746,3155.9531048480426,0.0,2,11,0,35,3,1001,994,11
134,39.55603776016151,997,998,3152.7908271878746,3155.9531048480426,0.0,1,12,0,35,1,996,1005,12
135,40.30585268449891,997,998,3152.7908271878746,3155.9531048480426,0.0,1,11,1,35,2,990,997,12
136,40.332030703719006,997,998,3152.7908271878746,3155.9531048480426,0.0,1,11,0,36,3,990,997,11
137,45.332824048211876,997,998,3152.7908271878746,3155.9531048480426,0.0,0,12,0,36,1,989,1000,12
138,50.96403912927731,997,998,3152.7908271878746,3155.9531048480426,0.0,0,11,1,36,2,996,1005,12
139,51.246008925492546,997,998,3152.7908271878746,3155.9531048480426,0.0,0,11,0,37,3,996,1005,11
